"27","s'appeler","名叫",NULL,"1","你好！法语（A1）"
"28","bienvenue","欢迎",NULL,"1","你好！法语（A1）"
"29","bonjour","你好",NULL,"1","你好！法语（A1）"
"30","ce","这",NULL,"1","你好！法语（A1）"
"31","club","俱乐部",NULL,"1","你好！法语（A1）"
"32","et","和",NULL,"1","你好！法语（A1）"
"33","être","是，在",NULL,"1","你好！法语（A1）"
"34","étudiant(e)","大学生",NULL,"1","你好！法语（A1）"
"35","femme","女人",NULL,"1","你好！法语（A1）"
"36","français(e)","法国的",NULL,"1","你好！法语（A1）"
"37","Français(e)","法国人",NULL,"1","你好！法语（A1）"
"38","homme","男人",NULL,"1","你好！法语（A1）"
"39","italien(ne)","意大利的",NULL,"1","你好！法语（A1）"
"40","Italien(ne)","意大利人",NULL,"1","你好！法语（A1）"
"41","la Baule","拉波尔",NULL,"1","你好！法语（A1）"
"42","ma","我的（后接单数阴性名词）",NULL,"1","你好！法语（A1）"
"43","madame","夫人",NULL,"1","你好！法语（A1）"
"44","maman","【儿语】妈妈",NULL,"1","你好！法语（A1）"
"45","mari","丈夫",NULL,"1","你好！法语（A1）"
"46","mon","我的（后接单数阳性名词）",NULL,"1","你好！法语（A1）"
"47","monsieur","先生",NULL,"1","你好！法语（A1）"
"48","nationalité","国籍",NULL,"1","你好！法语（A1）"
"49","nom","姓氏",NULL,"1","你好！法语（A1）"
"50","non","不",NULL,"1","你好！法语（A1）"
"51","oui","是的",NULL,"1","你好！法语（A1）"
"52","prénom","名字",NULL,"1","你好！法语（A1）"
"53","qui","谁",NULL,"1","你好！法语（A1）"
"54","voici","这是",NULL,"1","你好！法语（A1）"
"55","à","在，向，到，给",NULL,"2","你好！法语（A1）"
"56","assistant(e)","助理；助手",NULL,"2","你好！法语（A1）"
"57","badge","胸卡",NULL,"2","你好！法语（A1）"
"58","belge","比利时的",NULL,"2","你好！法语（A1）"
"59","Belge","比利时人",NULL,"2","你好！法语（A1）"
"60","café","咖啡；咖啡馆",NULL,"2","你好！法语（A1）"
"61","carte","卡片",NULL,"2","你好！法语（A1）"
"62","carte de visite","名片",NULL,"2","你好！法语（A1）"
"63","chinois(e)","中国的",NULL,"2","你好！法语（A1）"
"64","Chinois(e)","中国人",NULL,"2","你好！法语（A1）"
"65","cours","课，课程",NULL,"2","你好！法语（A1）"
"66","dans","在...里面",NULL,"2","你好！法语（A1）"
"67","dentiste","牙医",NULL,"2","你好！法语（A1）"
"68","directeur(trice)","经理",NULL,"2","你好！法语（A1）"
"69","en","在...地点",NULL,"2","你好！法语（A1）"
"70","espagnol(e)","西班牙的",NULL,"2","你好！法语（A1）"
"71","Espagnol(e)","西班牙人",NULL,"2","你好！法语（A1）"
"72","français","法语",NULL,"2","你好！法语（A1）"
"73","France","法国",NULL,"2","你好！法语（A1）"
"74","Genève","日内瓦",NULL,"2","你好！法语（A1）"
"75","habiter","居住",NULL,"2","你好！法语（A1）"
"76","Japon","日本",NULL,"2","你好！法语（A1）"
"77","japonais(e)","日本的",NULL,"2","你好！法语（A1）"
"78","Japonais(e)","日本人",NULL,"2","你好！法语（A1）"
"79","ou","或，或者",NULL,"2","你好！法语（A1）"
"80","photographe","摄影师",NULL,"2","你好！法语（A1）"
"81","professeur","教师，教授",NULL,"2","你好！法语（A1）"
"82","rendez-vous","约会，预约",NULL,"2","你好！法语（A1）"
"83","sur rendez-vous","预约就诊",NULL,"2","你好！法语（A1）"
"84","secrétaire","秘书",NULL,"2","你好！法语（A1）"
"85","s'il vous plaît","请；请问",NULL,"2","你好！法语（A1）"
"86","Suisse","瑞士；瑞士人",NULL,"2","你好！法语（A1）"
"87","sympa","给人好感的，讨人喜欢的",NULL,"2","你好！法语（A1）"
"88","téléphone","电话",NULL,"2","你好！法语（A1）"
"89","thé","茶",NULL,"2","你好！法语（A1）"
"91","adresse","地址",NULL,"3","你好！法语（A1）"
"92","âge","年龄",NULL,"3","你好！法语（A1）"
"93","aller","去，走，处于...健康状况",NULL,"3","你好！法语（A1）"
"94","alors","那么，这样",NULL,"3","你好！法语（A1）"
"95","ami(e)","朋友",NULL,"3","你好！法语（A1）"
"96","an","年，岁",NULL,"3","你好！法语（A1）"
"97","au revoir","再见",NULL,"3","你好！法语（A1）"
"98","avec","和...一起",NULL,"3","你好！法语（A1）"
"99","avoir","有",NULL,"3","你好！法语（A1）"
"100","bébé","婴儿",NULL,"3","你好！法语（A1）"
"101","bien","好",NULL,"3","你好！法语（A1）"
"102","bon(ne)","好的",NULL,"3","你好！法语（A1）"
"103","ça","【俗】这个，那个",NULL,"3","你好！法语（A1）"
"104","Canada","加拿大",NULL,"3","你好！法语（A1）"
"105","comment","如何，怎样",NULL,"3","你好！法语（A1）"
"106","e-mail","电子邮件",NULL,"3","你好！法语（A1）"
"107","fille","女孩，女儿",NULL,"3","你好！法语（A1）"
"108","fils","儿子",NULL,"3","你好！法语（A1）"
"109","garçon","男孩",NULL,"3","你好！法语（A1）"
"110","hôtel","宾馆",NULL,"3","你好！法语（A1）"
"111","journée","一天",NULL,"3","你好！法语（A1）"
"112","Bonne journée","祝一天愉快",NULL,"3","你好！法语（A1）"
"113","maintenant","现在",NULL,"3","你好！法语（A1）"
"114","merci","谢谢",NULL,"3","你好！法语（A1）"
"115","Montréal","蒙特利尔",NULL,"3","你好！法语（A1）"
"116","Notre-Dame","圣母院",NULL,"3","你好！法语（A1）"
"117","nuit","夜晚",NULL,"3","你好！法语（A1）"
"118","Bonne nuit","晚安",NULL,"3","你好！法语（A1）"
"119","numéro","号码",NULL,"3","你好！法语（A1）"
"120","Paris","巴黎",NULL,"3","你好！法语（A1）"
"121","parler","说话",NULL,"3","你好！法语（A1）"
"122","profession","职业",NULL,"3","你好！法语（A1）"
"123","quel(le)","什么样的，哪一类的",NULL,"3","你好！法语（A1）"
"124","rue","街道，马路",NULL,"3","你好！法语（A1）"
"125","salut","你好；再见",NULL,"3","你好！法语（A1）"
"126","toi","你（重读人称代词）",NULL,"3","你好！法语（A1）"
"127","vous","您，你们（重读人称代词）",NULL,"3","你好！法语（A1）"
"128","aimer","爱",NULL,"4","你好！法语（A1）"
"129","aussi","也",NULL,"4","你好！法语（A1）"
"130","beaucoup","很，非常，很多",NULL,"4","你好！法语（A1）"
"131","Belgique","比利时",NULL,"4","你好！法语（A1）"
"132","bientôt","一会儿",NULL,"4","你好！法语（A1）"
"133","À bientôt","一会见",NULL,"4","你好！法语（A1）"
"134","boulanger(ère)","面包师",NULL,"4","你好！法语（A1）"
"135","Bruxelles","布鲁塞尔",NULL,"4","你好！法语（A1）"
"136","Cayenne","卡宴",NULL,"4","你好！法语（A1）"
"137","chercher","找，寻找",NULL,"4","你好！法语（A1）"
"138","cinéma","电影；电影院",NULL,"4","你好！法语（A1）"
